epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,367.981,1.08667,1.28149,1.18483,0.79908,0.54545,0.69979,0.36588,1.48977,2.18564,1.3528,0.00099314,0.00099314,0.00099314
44,378.983,1.05024,1.13932,1.11487,0.75898,0.72727,0.75015,0.39904,1.41369,2.0773,1.35817,0.000999282,0.000999282,0.000999282
45,389.086,1.04859,1.33496,1.1788,0.75898,0.72727,0.75015,0.39904,1.41369,2.0773,1.35817,0.00100463,0.00100463,0.00100463
46,399.742,1.01592,1.28603,1.13693,0.47709,0.72727,0.65007,0.3399,1.42474,2.08891,1.34033,0.00100919,0.00100919,0.00100919
47,410.288,0.90941,1.15161,1.06968,0.47709,0.72727,0.65007,0.3399,1.42474,2.08891,1.34033,0.00101296,0.00101296,0.00101296
48,422.821,0.90662,1.10282,1.07696,0.54581,0.63636,0.51989,0.29814,1.52283,2.01243,1.35042,0.00101593,0.00101593,0.00101593
49,434.231,0.92763,1.13187,1.08623,0.54581,0.63636,0.51989,0.29814,1.52283,2.01243,1.35042,0.00101811,0.00101811,0.00101811
50,445.007,1.07373,1.11193,1.12638,0.52849,0.71406,0.53848,0.25436,1.58445,2.00864,1.43278,0.0010195,0.0010195,0.0010195
51,456.582,0.87414,1.16512,1.08974,0.52849,0.71406,0.53848,0.25436,1.58445,2.00864,1.43278,0.00101,0.00101,0.00101
52,466.1,0.92233,1.07256,1.05145,0.53736,0.63636,0.54874,0.22411,1.74611,2.14159,1.64763,0.0009902,0.0009902,0.0009902
53,475.35,1.00727,1.02681,1.12447,0.53736,0.63636,0.54874,0.22411,1.74611,2.14159,1.64763,0.0009704,0.0009704,0.0009704
54,484.597,0.97937,1.22713,1.0475,0.56205,0.63636,0.49247,0.17405,1.93191,2.1813,1.83901,0.0009506,0.0009506,0.0009506
55,493.381,0.98542,1.18055,1.11222,0.56205,0.63636,0.49247,0.17405,1.93191,2.1813,1.83901,0.0009308,0.0009308,0.0009308
56,502.934,1.00943,1.08312,1.13617,0.66085,0.70981,0.59685,0.23538,1.85886,1.9693,1.78398,0.000911,0.000911,0.000911
57,513.986,0.87673,0.93955,1.05178,0.66085,0.70981,0.59685,0.23538,1.85886,1.9693,1.78398,0.0008912,0.0008912,0.0008912
58,523.956,0.85939,0.99515,1.0687,0.52851,0.81818,0.56617,0.22321,1.72514,1.97289,1.73073,0.0008714,0.0008714,0.0008714
59,533.174,0.87368,1.00975,1.04289,0.52851,0.81818,0.56617,0.22321,1.72514,1.97289,1.73073,0.0008516,0.0008516,0.0008516
60,541.992,0.813,1.01129,1.0332,0.48858,0.54545,0.38801,0.20161,1.53125,2.22131,1.64455,0.0008318,0.0008318,0.0008318
61,550.458,0.91091,0.96475,1.07968,0.48858,0.54545,0.38801,0.20161,1.53125,2.22131,1.64455,0.000812,0.000812,0.000812
62,559.094,0.88599,1.14132,1.07504,0.49012,0.54545,0.33479,0.16558,1.43993,2.41914,1.58043,0.0007922,0.0007922,0.0007922
63,569.688,0.81378,0.8902,1.02809,0.49012,0.54545,0.33479,0.16558,1.43993,2.41914,1.58043,0.0007724,0.0007724,0.0007724
64,579.225,0.82766,0.98398,1.02588,0.38308,0.54545,0.30349,0.16233,1.42049,2.455,1.49304,0.0007526,0.0007526,0.0007526
65,588.765,0.90672,0.90667,1.07048,0.38308,0.54545,0.30349,0.16233,1.42049,2.455,1.49304,0.0007328,0.0007328,0.0007328
66,602.099,0.7822,0.89091,0.97688,0.42071,0.54545,0.29375,0.16938,1.44621,2.44931,1.46566,0.000713,0.000713,0.000713
67,613.586,0.87373,0.93798,0.99105,0.42071,0.54545,0.29375,0.16938,1.44621,2.44931,1.46566,0.0006932,0.0006932,0.0006932
68,624.81,0.91638,1.00084,1.10106,0.42434,0.5367,0.31318,0.17592,1.39122,2.3,1.41208,0.0006734,0.0006734,0.0006734
69,635.379,0.79146,0.89519,0.98206,0.42434,0.5367,0.31318,0.17592,1.39122,2.3,1.41208,0.0006536,0.0006536,0.0006536
70,645.23,0.76789,0.90989,0.93283,0.49369,0.63636,0.37775,0.18984,1.34366,2.20248,1.45502,0.0006338,0.0006338,0.0006338
71,656.082,0.91782,0.99987,1.06417,0.49369,0.63636,0.37775,0.18984,1.34366,2.20248,1.45502,0.000614,0.000614,0.000614
72,667.299,0.81328,0.85655,0.99905,0.53495,0.62805,0.41261,0.21669,1.30217,2.23125,1.42935,0.0005942,0.0005942,0.0005942
73,678.275,0.95313,0.95518,1.06614,0.53495,0.62805,0.41261,0.21669,1.30217,2.23125,1.42935,0.0005744,0.0005744,0.0005744
74,689.464,0.78757,0.84564,0.99638,0.53736,0.63377,0.44996,0.23443,1.26825,2.22851,1.30112,0.0005546,0.0005546,0.0005546
75,700.222,0.8455,0.91794,1.09413,0.53736,0.63377,0.44996,0.23443,1.26825,2.22851,1.30112,0.0005348,0.0005348,0.0005348
76,710.959,0.83196,0.8704,1.03952,0.41403,0.70743,0.4519,0.25755,1.4045,2.20856,1.40626,0.000515,0.000515,0.000515
77,722.942,0.77699,0.88168,1.00553,0.41403,0.70743,0.4519,0.25755,1.4045,2.20856,1.40626,0.0004952,0.0004952,0.0004952
78,733.984,0.83142,0.88535,0.98698,0.45952,0.63636,0.50125,0.26912,1.41432,2.29201,1.42263,0.0004754,0.0004754,0.0004754
79,746.598,0.69132,0.86278,0.96438,0.45952,0.63636,0.50125,0.26912,1.41432,2.29201,1.42263,0.0004556,0.0004556,0.0004556
80,757.313,0.76766,0.87833,0.96708,0.49756,0.63059,0.47186,0.2746,1.37281,2.29427,1.4547,0.0004358,0.0004358,0.0004358
81,769.287,0.78006,0.81077,1.01469,0.49756,0.63059,0.47186,0.2746,1.37281,2.29427,1.4547,0.000416,0.000416,0.000416
