epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,378.484,0.92577,0.82923,1.00567,0.87377,0.86578,0.86052,0.57527,1.23411,1.41553,1.18409,0.00099314,0.00099314,0.00099314
44,387.292,0.86134,0.81707,1.02026,0.82399,0.87794,0.92595,0.60916,1.20371,1.49711,1.18594,0.000999282,0.000999282,0.000999282
45,395.837,0.88611,0.81357,1.00131,0.82399,0.87794,0.92595,0.60916,1.20371,1.49711,1.18594,0.00100463,0.00100463,0.00100463
46,404.901,0.90737,0.77992,1.03157,0.8676,0.875,0.9197,0.63539,1.15589,1.4795,1.15577,0.00100919,0.00100919,0.00100919
47,413.827,0.88442,0.85004,1.00809,0.8676,0.875,0.9197,0.63539,1.15589,1.4795,1.15577,0.00101296,0.00101296,0.00101296
48,422.133,0.86139,0.82756,0.98476,0.80506,0.875,0.86726,0.56216,1.16182,1.38795,1.18244,0.00101593,0.00101593,0.00101593
49,432.02,0.95126,0.84825,1.04861,0.80506,0.875,0.86726,0.56216,1.16182,1.38795,1.18244,0.00101811,0.00101811,0.00101811
50,440.645,0.82675,0.82811,1.00107,0.80767,0.875,0.82492,0.56445,1.15903,1.37029,1.18304,0.0010195,0.0010195,0.0010195
51,449.189,0.8169,0.77787,0.99389,0.80767,0.875,0.82492,0.56445,1.15903,1.37029,1.18304,0.00101,0.00101,0.00101
52,457.923,0.83063,0.75434,0.96254,0.81766,0.875,0.83888,0.55451,1.22275,1.39367,1.16312,0.0009902,0.0009902,0.0009902
53,466.873,0.83912,0.77686,0.97904,0.81766,0.875,0.83888,0.55451,1.22275,1.39367,1.16312,0.0009704,0.0009704,0.0009704
54,475.502,0.85007,0.78999,1.01641,0.82021,0.85619,0.84648,0.57176,1.22454,1.34653,1.12085,0.0009506,0.0009506,0.0009506
55,483.827,0.86066,0.71562,0.99897,0.82021,0.85619,0.84648,0.57176,1.22454,1.34653,1.12085,0.0009308,0.0009308,0.0009308
56,493.131,0.85204,0.74519,0.97338,0.88221,0.93629,0.85766,0.57506,1.16181,1.16537,1.10086,0.000911,0.000911,0.000911
57,501.518,0.81758,0.74398,0.9819,0.88221,0.93629,0.85766,0.57506,1.16181,1.16537,1.10086,0.0008912,0.0008912,0.0008912
58,511.795,0.83835,0.70425,1.00583,0.86937,0.9375,0.8621,0.58047,1.20697,1.15043,1.12345,0.0008714,0.0008714,0.0008714
59,520.6,0.75844,0.67529,0.96563,0.86937,0.9375,0.8621,0.58047,1.20697,1.15043,1.12345,0.0008516,0.0008516,0.0008516
60,529.131,0.76332,0.66882,0.93677,0.87398,0.9375,0.86499,0.59726,1.22814,1.10601,1.12801,0.0008318,0.0008318,0.0008318
61,537.586,0.83182,0.72616,1.00438,0.87398,0.9375,0.86499,0.59726,1.22814,1.10601,1.12801,0.000812,0.000812,0.000812
62,546.554,0.80293,0.6628,0.96616,0.88178,0.9375,0.85492,0.58909,1.17909,1.03655,1.15474,0.0007922,0.0007922,0.0007922
63,555.364,0.70148,0.71875,0.95497,0.88178,0.9375,0.85492,0.58909,1.17909,1.03655,1.15474,0.0007724,0.0007724,0.0007724
64,564.99,0.72935,0.72569,0.93628,0.87836,0.9375,0.85491,0.55299,1.16151,1.02675,1.19727,0.0007526,0.0007526,0.0007526
65,574.205,0.71889,0.74631,0.98532,0.87836,0.9375,0.85491,0.55299,1.16151,1.02675,1.19727,0.0007328,0.0007328,0.0007328
66,583.32,0.70608,0.63073,0.9315,0.87651,0.9375,0.83653,0.50769,1.22564,1.0206,1.28154,0.000713,0.000713,0.000713
67,592.106,0.72415,0.69927,0.92183,0.87651,0.9375,0.83653,0.50769,1.22564,1.0206,1.28154,0.0006932,0.0006932,0.0006932
68,601.488,0.80551,0.71076,1.00628,0.87707,0.9375,0.83374,0.51103,1.23061,1.04958,1.2707,0.0006734,0.0006734,0.0006734
69,610.21,0.74874,0.68808,0.99432,0.87707,0.9375,0.83374,0.51103,1.23061,1.04958,1.2707,0.0006536,0.0006536,0.0006536
70,619.861,0.72357,0.69612,0.94193,0.87776,0.9375,0.83381,0.54169,1.21514,1.04282,1.22803,0.0006338,0.0006338,0.0006338
71,628.416,0.6717,0.66992,0.93967,0.87776,0.9375,0.83381,0.54169,1.21514,1.04282,1.22803,0.000614,0.000614,0.000614
72,636.794,0.72869,0.69939,0.96747,0.87808,0.9375,0.83393,0.5614,1.1901,1.01881,1.21007,0.0005942,0.0005942,0.0005942
73,645.93,0.71145,0.64547,0.92924,0.87808,0.9375,0.83393,0.5614,1.1901,1.01881,1.21007,0.0005744,0.0005744,0.0005744
74,654.738,0.69514,0.64899,0.94924,0.87864,0.9375,0.83683,0.55104,1.20869,1.00752,1.24256,0.0005546,0.0005546,0.0005546
75,663.39,0.64042,0.64751,0.93507,0.87864,0.9375,0.83683,0.55104,1.20869,1.00752,1.24256,0.0005348,0.0005348,0.0005348
76,673.636,0.73392,0.6308,0.97186,0.87884,0.9375,0.8265,0.53501,1.21778,0.98348,1.25254,0.000515,0.000515,0.000515
77,682.752,0.69228,0.65587,0.96854,0.87884,0.9375,0.8265,0.53501,1.21778,0.98348,1.25254,0.0004952,0.0004952,0.0004952
78,691.765,0.76243,0.65727,0.96669,0.87855,0.9375,0.84129,0.5626,1.21345,1.00226,1.2295,0.0004754,0.0004754,0.0004754
79,700.806,0.71709,0.63367,0.9841,0.87855,0.9375,0.84129,0.5626,1.21345,1.00226,1.2295,0.0004556,0.0004556,0.0004556
80,709.947,0.64423,0.59021,0.92352,0.87975,0.9375,0.84127,0.56576,1.22889,1.00817,1.21836,0.0004358,0.0004358,0.0004358
81,718.581,0.71954,0.61613,0.93688,0.87975,0.9375,0.84127,0.56576,1.22889,1.00817,1.21836,0.000416,0.000416,0.000416
82,727.461,0.73342,0.62934,0.94912,0.87991,0.9375,0.84128,0.58566,1.23177,1.02649,1.20369,0.0003962,0.0003962,0.0003962
83,735.789,0.66923,0.59993,0.96342,0.87991,0.9375,0.84128,0.58566,1.23177,1.02649,1.20369,0.0003764,0.0003764,0.0003764
84,744.461,0.56675,0.56268,0.89748,0.87983,0.9375,0.82661,0.55275,1.2404,1.00727,1.2234,0.0003566,0.0003566,0.0003566
85,752.883,0.74118,0.6886,0.97597,0.87983,0.9375,0.82661,0.55275,1.2404,1.00727,1.2234,0.0003368,0.0003368,0.0003368
86,761.303,0.61808,0.58673,0.91172,0.8795,0.9375,0.82655,0.54762,1.24015,0.98726,1.22935,0.000317,0.000317,0.000317
87,769.972,0.66312,0.65422,0.93791,0.8795,0.9375,0.82655,0.54762,1.24015,0.98726,1.22935,0.0002972,0.0002972,0.0002972
88,779.16,0.661,0.59935,0.97695,0.87907,0.9375,0.82654,0.56041,1.21971,0.98608,1.21296,0.0002774,0.0002774,0.0002774
