epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,142.128,1.08906,1.55993,1.27943,1,0.58534,0.93786,0.63978,0.93331,2.34374,1.20471,0.000490728,0.000490728,0.000490728
44,145.394,1.0655,1.62111,1.26604,1,0.58534,0.93786,0.63978,0.93331,2.34374,1.20471,0.000493898,0.000493898,0.000493898
45,148.576,0.98002,1.21051,1.08685,1,0.72825,0.92,0.65493,0.93514,2.29337,1.19977,0.000496672,0.000496672,0.000496672
46,151.732,1.10613,1.46411,1.13661,1,0.72825,0.92,0.65493,0.93514,2.29337,1.19977,0.00049905,0.00049905,0.00049905
47,155.005,1.0755,1.3689,1.22474,0.83111,0.6,0.88,0.6915,0.91938,2.08779,1.17937,0.000501032,0.000501032,0.000501032
48,158.249,1.19787,1.48071,1.35202,0.83111,0.6,0.88,0.6915,0.91938,2.08779,1.17937,0.000502618,0.000502618,0.000502618
49,161.539,0.9753,1.18157,1.18326,1,0.59252,0.81924,0.60671,1.00174,1.99347,1.26618,0.000503808,0.000503808,0.000503808
50,164.787,1.26335,1.72239,1.49598,1,0.59252,0.81924,0.60671,1.00174,1.99347,1.26618,0.000504602,0.000504602,0.000504602
51,168.079,1.15683,1.60105,1.39262,1,0.58824,0.79262,0.57355,1.09915,2.03375,1.34848,0.000505,0.000505,0.000505
52,171.326,1.10181,1.22281,1.25719,1,0.58824,0.79262,0.57355,1.09915,2.03375,1.34848,0.000505002,0.000505002,0.000505002
53,174.568,0.97157,1.25478,1.11722,1,0.58824,0.79262,0.57355,1.09915,2.03375,1.34848,0.000504608,0.000504608,0.000504608
54,177.848,1.27484,1.52247,1.38044,1,0.58466,0.81167,0.5306,1.01329,2.18649,1.29739,0.000503818,0.000503818,0.000503818
55,181.075,1.04318,1.29687,1.20419,1,0.58466,0.81167,0.5306,1.01329,2.18649,1.29739,0.000502632,0.000502632,0.000502632
56,184.27,1.04319,1.28195,1.16285,1,0.58466,0.81167,0.5306,1.01329,2.18649,1.29739,0.00050105,0.00050105,0.00050105
57,187.605,1.34906,1.64591,1.367,1,0.57377,0.79262,0.50572,0.91331,2.12411,1.19768,0.000499072,0.000499072,0.000499072
58,190.845,1.04816,1.36084,1.26358,1,0.57377,0.79262,0.50572,0.91331,2.12411,1.19768,0.000496698,0.000496698,0.000496698
59,194.037,0.90053,1.20215,1.17793,1,0.57377,0.79262,0.50572,0.91331,2.12411,1.19768,0.000493928,0.000493928,0.000493928
60,197.34,1.03644,1.41915,1.29811,0.97179,0.6,0.81924,0.54119,0.88049,2.16688,1.17325,0.000490762,0.000490762,0.000490762
61,200.551,1.0405,1.24714,1.23021,0.97179,0.6,0.81924,0.54119,0.88049,2.16688,1.17325,0.0004872,0.0004872,0.0004872
62,203.731,0.93589,1.35426,1.25462,0.97179,0.6,0.81924,0.54119,0.88049,2.16688,1.17325,0.000483242,0.000483242,0.000483242
63,207.094,1.12433,1.56038,1.4404,0.78545,0.8,0.86611,0.63912,0.7438,2.10657,1.1146,0.000478888,0.000478888,0.000478888
64,210.226,0.83385,1.10599,1.08531,0.78545,0.8,0.86611,0.63912,0.7438,2.10657,1.1146,0.000474138,0.000474138,0.000474138
65,213.612,0.86132,1.1601,1.13144,0.78545,0.8,0.86611,0.63912,0.7438,2.10657,1.1146,0.000468992,0.000468992,0.000468992
66,216.977,0.74642,1.24456,1.13967,0.94372,0.8,0.96167,0.72033,0.69332,1.86345,1.07366,0.00046345,0.00046345,0.00046345
67,220.172,1.0912,1.56783,1.28493,0.94372,0.8,0.96167,0.72033,0.69332,1.86345,1.07366,0.000457512,0.000457512,0.000457512
68,223.315,0.88865,1.14424,1.17944,0.94372,0.8,0.96167,0.72033,0.69332,1.86345,1.07366,0.000451178,0.000451178,0.000451178
69,226.539,0.90127,1.40149,1.22774,1,0.95482,0.995,0.75957,0.70552,1.78165,1.06139,0.000444448,0.000444448,0.000444448
70,229.764,1.04315,1.15878,1.32671,1,0.95482,0.995,0.75957,0.70552,1.78165,1.06139,0.000437322,0.000437322,0.000437322
71,233.025,0.87064,1.20976,1.10444,1,0.95482,0.995,0.75957,0.70552,1.78165,1.06139,0.0004298,0.0004298,0.0004298
72,236.217,0.94635,1.31442,1.21626,0.80933,1,0.895,0.72955,0.65046,1.81433,1.06717,0.000421882,0.000421882,0.000421882
73,239.42,0.88759,1.07764,1.12689,0.80933,1,0.895,0.72955,0.65046,1.81433,1.06717,0.000413568,0.000413568,0.000413568
74,242.616,0.94204,1.11995,1.18545,0.80933,1,0.895,0.72955,0.65046,1.81433,1.06717,0.000404858,0.000404858,0.000404858
75,245.757,1.0605,1.28218,1.18756,0.79316,1,0.895,0.7129,0.70694,1.92545,1.0885,0.000395752,0.000395752,0.000395752
76,249.024,1.01021,1.2365,1.28737,0.79316,1,0.895,0.7129,0.70694,1.92545,1.0885,0.00038625,0.00038625,0.00038625
77,252.167,0.67843,0.99959,1.01243,0.79316,1,0.895,0.7129,0.70694,1.92545,1.0885,0.000376352,0.000376352,0.000376352
78,255.421,0.81452,1.10235,1.16803,0.68014,1,0.85786,0.63777,0.77325,1.92946,1.10799,0.000366058,0.000366058,0.000366058
79,258.57,0.93739,1.2569,1.20359,0.68014,1,0.85786,0.63777,0.77325,1.92946,1.10799,0.000355368,0.000355368,0.000355368
80,261.68,0.83661,1.05637,1.08714,0.68014,1,0.85786,0.63777,0.77325,1.92946,1.10799,0.000344282,0.000344282,0.000344282
81,265.049,0.85518,1.1405,1.06388,0.77521,0.8,0.8,0.66498,0.75335,1.83311,1.07874,0.0003328,0.0003328,0.0003328
82,268.209,0.9506,1.06021,1.22668,0.77521,0.8,0.8,0.66498,0.75335,1.83311,1.07874,0.000320922,0.000320922,0.000320922
83,271.391,0.78186,1.053,1.06856,0.77521,0.8,0.8,0.66498,0.75335,1.83311,1.07874,0.000308648,0.000308648,0.000308648
84,274.695,0.76866,1.1594,1.09907,0.68207,1,0.89786,0.67295,0.69854,1.67459,1.01919,0.000295978,0.000295978,0.000295978
85,277.77,0.9081,1.0781,1.1157,0.68207,1,0.89786,0.67295,0.69854,1.67459,1.01919,0.000282912,0.000282912,0.000282912
86,280.952,0.86446,1.09432,1.11044,0.68207,1,0.89786,0.67295,0.69854,1.67459,1.01919,0.00026945,0.00026945,0.00026945
87,284.203,0.91814,1.32348,1.22471,0.68207,1,0.89786,0.67295,0.69854,1.67459,1.01919,0.000255592,0.000255592,0.000255592
88,287.383,0.93832,1.12315,1.122,0.83073,0.98435,0.86167,0.7189,0.68117,1.45853,0.99398,0.000241338,0.000241338,0.000241338
89,290.58,0.73519,0.98702,1.01124,0.83073,0.98435,0.86167,0.7189,0.68117,1.45853,0.99398,0.000226688,0.000226688,0.000226688
90,293.742,0.80512,1.09457,1.07927,0.83073,0.98435,0.86167,0.7189,0.68117,1.45853,0.99398,0.000211642,0.000211642,0.000211642
91,297.143,0.601,1.21973,0.98727,0.83073,0.98435,0.86167,0.7189,0.68117,1.45853,0.99398,0.0001962,0.0001962,0.0001962
92,300.862,0.59606,1.19322,1.04247,1,0.99849,0.995,0.84845,0.60777,1.29241,0.96392,0.000180362,0.000180362,0.000180362
93,304.098,0.59888,1.22832,0.9821,1,0.99849,0.995,0.84845,0.60777,1.29241,0.96392,0.000164128,0.000164128,0.000164128
94,307.294,0.59193,1.05402,1.00589,1,0.99849,0.995,0.84845,0.60777,1.29241,0.96392,0.000147498,0.000147498,0.000147498
95,310.536,0.62159,1.08248,0.90829,1,0.99849,0.995,0.84845,0.60777,1.29241,0.96392,0.000130472,0.000130472,0.000130472
96,313.803,0.65251,1.09945,0.97724,0.99072,1,0.995,0.86045,0.59233,1.34172,0.96129,0.00011305,0.00011305,0.00011305
97,317.074,0.71473,1.11216,0.96018,0.99072,1,0.995,0.86045,0.59233,1.34172,0.96129,9.5232e-05,9.5232e-05,9.5232e-05
98,320.215,0.67168,1.10995,1.12966,0.99072,1,0.995,0.86045,0.59233,1.34172,0.96129,7.7018e-05,7.7018e-05,7.7018e-05
99,323.365,0.5571,1.10438,0.91937,0.99072,1,0.995,0.86045,0.59233,1.34172,0.96129,5.8408e-05,5.8408e-05,5.8408e-05
100,326.592,0.51474,1.09605,0.97716,0.98889,1,0.995,0.86711,0.57485,1.31037,0.9517,3.9402e-05,3.9402e-05,3.9402e-05
